lotid,logerror,transactiondate,aircond,style,basement,numbath,numbedroom,classbuild,qualitybuild,decktype,finishedarea1st,finishedarea,perimeterarea,totalarea,finishedareaEntry,countycode,numfireplace,numfullbath,garagenum,garagearea,tubflag,heatingtype,latitude,longitude,lotarea,poolnum,poolarea,citycode,countycode2,neighborhoodcode,regioncode,roomnum,storytype,num34bath,material,unitnum,year,numstories,fireplace,buildvalue,parcelvalue,taxyear,landvalue,totaltaxvalue,taxdelinquencyflag,taxdelinquencyyear,mypointer
17214744,,"",,,,2,3,,,,1255,1255,,,1255,6111,1,2,2,465,,,34191029,-118914689,12497,,,34278,2061,46736,96351,6,,,,,1979,1,,103993,142212,2015,38219,1715.08,"",,25711
12018724,,"",1,,,2,1,,4,,,1033,,,,6037,0,2,,,,2,34092200,-118374000,20527,1,,48424,3101,,96050,0,,,,1,1973,,,129428,301141,2015,171713,3851.88,"",,13268
11306699,,"",1,,,3,4,,4,,,2982,,,,6037,0,3,,,,2,34696444,-118184228,8466,,,5534,3101,,97319,0,,,,1,2004,,,175069,235062,2015,59993,3818.24,Y,11,5423
11047729,,"",1,,,2,3,,7,,,1757,,,,6037,0,2,,,,2,34252019,-118467570,8612,,,12447,3101,116646,96371,0,,,,1,1952,,,162926,270543,2015,107617,3450.67,"",,26198
17174848,,"",,,,3,2,,,66,1047,1951,,,1047,6111,0,3,2,0,,,34146639,-119190425,2660,,,47198,2061,,97109,6,,,,,1988,2,,180532,300886,2015,120354,3394.26,"",,25187
14305657,,"",13,,,2,3,,,,,1641,,,,6059,1,2,2,483,,,33681662,-117802630,4986,,,52650,1286,276119,96941,6,,,,,1976,1,,129429,671269,2015,541840,6977.88,"",,6066
11016338,,"",1,,,3,3,,8,,,1663,,,,6037,0,3,,,,2,34284508,-118493574,12102,1,,12447,3101,31817,96370,0,,,,1,1961,,,139956,363524,2016,223568,4601.94,"",,4138
13961339,,"",,,,2.5,5,,,,,2588,,,,6059,1,2,2,504,,,33740969,-117796894,10575,1,,40081,1286,,97005,9,,1,,,1963,1,,89690,115391,2015,25701,1636.18,"",,4706
11671803,,"",1,,,3,3,,4,,,1777,,,,6037,0,3,,,,2,34076404,-118560997,363116,,,12447,3101,19810,96120,0,,,,1,1978,,,184681,329781,2015,145100,4101.08,"",,5706
11150386,,"",1,,,3,4,,4,,,2198,,,,6037,0,3,,,,2,34398126,-118448101,5815,,,54311,3101,37739,96401,0,,,,1,2000,,,236707,360647,2015,123940,5058.2,"",,13350
14237841,,"",13,,,2.5,4,,,,,1959,,,,6059,0,2,2,420,,,33794772,-117873690,6300,,,33252,1286,,97066,8,,1,,,1979,2,,128294,466197,2015,337903,5237.28,"",,16272
17144392,0.0580565471716,2017-07-28,,,,5.5,5,,,66,2600,4379,,,2600,6111,2,5,2,718,,,34243734,-118970738,20000,1,650,51239,2061,,97091,10,,1,,,1993,2,,545000,1456000,2016,911000,15493.74,"",,26062
17225257,,"",,,,3.5,5,,,,2259,3918,,,2259,6111,2,3,2,502,,,34233596,-118801321,24147,,,27110,2061,,97118,9,,1,,,1998,2,,433227,722040,2016,288813,8127.16,"",,17248
10965295,,"",1,,,3,3,,4,,,1231,,,,6037,0,3,,,,2,34315800,-118443000,140609,1,,12447,3101,34213,96368,0,,,,1,1989,,,149240,186549,2015,37309,2316.6,"",,6123
